id_ocorrencia,data_ocorrencia,bairro,tipo_crime,descricao_modus_operandi,arma_utilizada,quantidade_vitimas,quantidade_suspeitos,sexo_suspeito,idade_suspeito,orgao_responsavel,status_investigacao,latitude,longitude
OCR100016,2024-05-27 19:48:16.958733,Boa Viagem,Violência Doméstica,Assalto a Mão Armada,Objeto Contundente,3,3,Feminino,24,Delegacia Santo Amaro,Arquivado,-8.08036137522257,-34.91789380438919
OCR100017,2025-06-25 19:48:16.958735,Boa Viagem,Tráfico de Drogas,Assalto a Mão Armada,Explosivos,3,0,Feminino,41,Delegacia Casa Forte,Arquivado,-8.132366520411287,-34.9129956178959
OCR100018,2023-02-25 19:48:16.958737,Tamarineira,Violência Doméstica,Uso de Arma de Fogo,Arma de Fogo,3,2,Masculino,45,Delegacia Santo Amaro,Concluído,-8.089483939191744,-34.918234705744894
OCR100019,2024-09-28 19:48:16.958739,Tamarineira,Furto,Emboscada,Explosivos,2,3,Masculino,47,Delegacia Pina,Em Investigação,-8.13099322735669,-34.895336164489294
OCR100020,2023-03-19 19:48:16.958741,Torre,Latrocínio,Fraude Online,Faca,3,3,Masculino,68,Delegacia Santo Amaro,Em Investigação,-8.126978875312668,-34.92933685451433
OCR100021,2022-08-28 19:48:16.958743,Afogados,Estelionato,Arrombamento,Explosivos,1,4,Feminino,35,Delegacia Santo Amaro,Concluído,-8.0569556416037,-34.904492226303994
OCR100022,2023-07-28 19:48:16.958745,Imbiribeira,Ameaça,Uso de Arma de Fogo,Nenhum,0,0,Feminino,27,Delegacia Pina,Em Investigação,-8.130261649828416,-34.94364498792438
OCR100023,2023-07-01 19:48:16.958746,Espinheiro,Furto,Fraude Online,Arma de Fogo,4,1,Não Informado,56,Delegacia Torre,Concluído,-8.130029769408887,-34.92503072798141
OCR100024,2025-03-15 19:48:16.958748,Tamarineira,Violência Doméstica,Estelionato Bancário,Faca,2,4,Feminino,18,Delegacia Afogados,Arquivado,-8.081652395879349,-34.85724322231633
OCR100025,2025-01-29 19:48:16.958750,Tamarineira,Homicídio,Estelionato Bancário,Objeto Contundente,3,1,Não Informado,57,Delegacia Santo Amaro,Em Investigação,-8.129451021175603,-34.871369231700655
OCR100026,2022-10-27 19:48:16.958752,Afogados,Furto,Crime Cibernético,Faca,1,1,Não Informado,56,Delegacia Pina,Concluído,-8.08643088653706,-34.92146730409011
OCR100027,2024-10-28 19:48:16.958754,Graças,Estupro,Estelionato Bancário,Faca,2,1,Não Informado,60,Delegacia Pina,Em Investigação,-8.148150433888505,-34.88623429325709
OCR100028,2023-04-06 19:48:16.958755,Espinheiro,Roubo,Estelionato Bancário,Nenhum,0,1,Feminino,44,Delegacia Casa Forte,Em Investigação,-8.129227842657958,-34.89752025871253
OCR100029,2024-11-22 19:48:16.958757,Tamarineira,Estelionato,Invasão Residencial,Objeto Contundente,1,2,Masculino,51,Delegacia Afogados,Concluído,-8.116533632062048,-34.87763171751553
OCR100030,2023-09-20 19:48:16.958759,Boa Viagem,Violência Doméstica,Estelionato Bancário,Faca,4,2,Masculino,44,Delegacia Boa Viagem,Arquivado,-8.130922957760546,-34.85884679747667
OCR100031,2024-11-01 19:48:16.958761,Torre,Violência Doméstica,Crime Cibernético,Explosivos,1,0,Masculino,30,Delegacia Pina,Concluído,-8.13403741423965,-34.88982335054408
OCR100032,2025-08-08 19:48:16.958762,Espinheiro,Furto,Arrombamento,Arma de Fogo,4,4,Feminino,34,Delegacia Boa Viagem,Arquivado,-8.050303542522087,-34.91505325973746
OCR100033,2025-05-16 19:48:16.958765,Boa Viagem,Ameaça,Invasão Residencial,Faca,4,4,Masculino,32,Delegacia Pina,Concluído,-8.118091228825037,-34.89509718622817
OCR100034,2023-08-15 19:48:16.958767,Espinheiro,Roubo,Invasão Residencial,Objeto Contundente,4,4,Feminino,55,Delegacia Santo Amaro,Arquivado,-8.116492412556285,-34.86535394027798
OCR100035,2025-04-17 19:48:16.958768,Pina,Ameaça,Crime Cibernético,Nenhum,1,3,Feminino,18,Delegacia Santo Amaro,Concluído,-8.076395926610891,-34.8974722627889
OCR100036,2024-05-06 19:48:16.958770,Casa Forte,Latrocínio,Estelionato Bancário,Explosivos,0,3,Masculino,43,Delegacia Torre,Em Investigação,-8.141728479049146,-34.934926461526885
OCR100037,2024-05-13 19:48:16.958772,Tamarineira,Estelionato,Fraude Online,Explosivos,3,4,Masculino,55,Delegacia Pina,Em Investigação,-8.135980213339035,-34.90484243576412
OCR100038,2023-05-14 19:48:16.958774,Afogados,Homicídio,Invasão Residencial,Objeto Contundente,1,3,Não Informado,38,Delegacia Afogados,Concluído,-8.108906282613349,-34.881745314542464
OCR100039,2023-05-18 19:48:16.958776,Santo Amaro,Latrocínio,Invasão Residencial,Explosivos,2,4,Masculino,34,Delegacia Boa Viagem,Em Investigação,-8.090306628185072,-34.880930992680234
OCR100040,2025-02-16 19:48:16.958777,Boa Viagem,Ameaça,Golpe Telefônico,Nenhum,2,4,Masculino,41,Delegacia Santo Amaro,Em Investigação,-8.079012803911505,-34.910732959519905
OCR100041,2023-07-01 19:48:16.958779,Pina,Estelionato,Uso de Arma de Fogo,Objeto Contundente,1,4,Feminino,49,Delegacia Torre,Arquivado,-8.119112420150662,-34.92698886002114
OCR100042,2025-03-20 19:48:16.958781,Tamarineira,Roubo,Uso de Arma de Fogo,Arma de Fogo,3,1,Não Informado,26,Delegacia Pina,Em Investigação,-8.07827348643649,-34.90336276780333
OCR100043,2024-08-30 19:48:16.958783,Graças,Ameaça,Assalto a Mão Armada,Arma de Fogo,0,1,Feminino,24,Delegacia Afogados,Em Investigação,-8.05621175790325,-34.911614630553956
OCR100044,2024-11-03 19:48:16.958785,Casa Forte,Roubo,Fraude Online,Nenhum,4,2,Feminino,45,Delegacia Boa Viagem,Em Investigação,-8.127936367948132,-34.94184457469209
OCR100045,2025-01-06 19:48:16.958787,Espinheiro,Roubo,Golpe Telefônico,Faca,0,2,Masculino,24,Delegacia Casa Forte,Arquivado,-8.066644432797695,-34.93175118568372
OCR100046,2023-01-03 19:48:16.958789,Afogados,Ameaça,Uso de Arma de Fogo,Explosivos,2,4,Não Informado,24,Delegacia Torre,Concluído,-8.068528131701626,-34.94824333180618
OCR100047,2024-10-25 19:48:16.958790,Casa Forte,Ameaça,Crime Cibernético,Arma de Fogo,0,2,Masculino,56,Delegacia Casa Forte,Arquivado,-8.097995449583566,-34.897217750024815
OCR100048,2022-11-10 19:48:16.958792,Tamarineira,Latrocínio,Estelionato Bancário,Faca,4,4,Não Informado,62,Delegacia Pina,Concluído,-8.078510310658947,-34.92212404948362
OCR100049,2024-01-28 19:48:16.958794,Torre,Latrocínio,Assalto a Mão Armada,Arma de Fogo,4,1,Masculino,39,Delegacia Afogados,Concluído,-8.08447781948231,-34.917780353748284
OCR100050,2024-12-28 19:48:16.958796,Torre,Latrocínio,Golpe Telefônico,Explosivos,2,4,Não Informado,64,Delegacia Casa Forte,Em Investigação,-8.106848746590863,-34.856142253964784
OCR100051,2024-12-17 19:48:16.958797,Pina,Violência Doméstica,Golpe Telefônico,Objeto Contundente,2,0,Feminino,58,Delegacia Torre,Concluído,-8.095991401842568,-34.904426312870015
OCR100052,2025-01-19 19:48:16.958799,Imbiribeira,Tráfico de Drogas,Estupro Coletivo,Explosivos,1,4,Masculino,34,Delegacia Pina,Concluído,-8.10847705746818,-34.94035551035174
OCR100053,2023-02-15 19:48:16.958802,Tamarineira,Estelionato,Fraude Online,Explosivos,4,4,Feminino,60,Delegacia Boa Viagem,Em Investigação,-8.082572163778112,-34.919020310187
OCR100054,2025-06-04 19:48:16.958803,Imbiribeira,Homicídio,Golpe Telefônico,Explosivos,3,0,Não Informado,54,Delegacia Torre,Arquivado,-8.063601360493639,-34.89466253257697
OCR100055,2023-09-02 19:48:16.958805,Santo Amaro,Estelionato,Estupro Coletivo,Arma de Fogo,0,4,Não Informado,34,Delegacia Torre,Concluído,-8.110290093627613,-34.88302103785955
OCR100056,2023-02-08 19:48:16.958807,Graças,Homicídio,Invasão Residencial,Explosivos,4,2,Masculino,35,Delegacia Santo Amaro,Concluído,-8.127324352252762,-34.86298684118383
OCR100057,2024-01-17 19:48:16.958809,Santo Amaro,Estupro,Estelionato Bancário,Nenhum,3,4,Masculino,20,Delegacia Boa Viagem,Arquivado,-8.098843882253147,-34.86677659030529
OCR100058,2023-09-13 19:48:16.958811,Graças,Roubo,Fraude Online,Objeto Contundente,3,3,Feminino,50,Delegacia Pina,Arquivado,-8.080974078319187,-34.943375804664086
OCR100059,2025-04-17 19:48:16.958812,Tamarineira,Sequestro,Assalto a Mão Armada,Arma de Fogo,0,3,Masculino,41,Delegacia Casa Forte,Em Investigação,-8.123108092280715,-34.91919803993774
OCR100060,2024-01-03 19:48:16.958814,Casa Forte,Violência Doméstica,Invasão Residencial,Faca,3,1,Feminino,27,Delegacia Afogados,Em Investigação,-8.129240865854927,-34.903829380621424
OCR100061,2024-12-03 19:48:16.958816,Afogados,Homicídio,Crime Cibernético,Arma de Fogo,3,4,Feminino,40,Delegacia Torre,Em Investigação,-8.132086265859538,-34.916720890799716
OCR100062,2023-06-13 19:48:16.958817,Pina,Violência Doméstica,Assalto a Mão Armada,Objeto Contundente,4,0,Não Informado,33,Delegacia Pina,Em Investigação,-8.139608464135547,-34.92651663620288
OCR100063,2025-06-02 19:48:16.958819,Casa Forte,Homicídio,Fraude Online,Objeto Contundente,3,2,Não Informado,39,Delegacia Boa Viagem,Em Investigação,-8.053191134843075,-34.86859993958995
OCR100064,2024-05-11 19:48:16.958821,Boa Viagem,Homicídio,Crime Cibernético,Objeto Contundente,3,2,Não Informado,33,Delegacia Afogados,Em Investigação,-8.135824962303564,-34.86083261845023
OCR100065,2024-07-19 19:48:16.958823,Santo Amaro,Roubo,Invasão Residencial,Faca,2,2,Masculino,44,Delegacia Torre,Em Investigação,-8.094211312878464,-34.93413765869559
OCR100066,2023-02-26 19:48:16.958825,Pina,Furto,Uso de Arma de Fogo,Arma de Fogo,0,3,Não Informado,22,Delegacia Santo Amaro,Concluído,-8.115842116939357,-34.94560137927591
OCR100067,2025-08-09 19:48:16.958827,Tamarineira,Sequestro,Golpe Telefônico,Explosivos,0,4,Feminino,34,Delegacia Torre,Em Investigação,-8.066456410257206,-34.89682336293832
OCR100068,2025-08-25 19:48:16.958829,Tamarineira,Ameaça,Assalto a Mão Armada,Nenhum,3,3,Não Informado,45,Delegacia Pina,Concluído,-8.0597269421074,-34.8651461815582
OCR100069,2024-03-28 19:48:16.958830,Casa Forte,Estupro,Emboscada,Explosivos,2,0,Masculino,41,Delegacia Casa Forte,Concluído,-8.094099830851064,-34.8759678508528
OCR100070,2023-05-19 19:48:16.958833,Pina,Estupro,Emboscada,Arma de Fogo,3,0,Masculino,52,Delegacia Afogados,Arquivado,-8.136975627056406,-34.92534808607308
OCR100071,2024-08-30 19:48:16.958834,Graças,Estupro,Fraude Online,Arma de Fogo,1,4,Feminino,37,Delegacia Torre,Em Investigação,-8.140490606798952,-34.8686584851478
OCR100072,2023-01-12 19:48:16.958836,Santo Amaro,Ameaça,Assalto a Mão Armada,Arma de Fogo,2,0,Não Informado,28,Delegacia Casa Forte,Em Investigação,-8.126603448326964,-34.87878180423064
OCR100073,2024-09-22 19:48:16.958838,Pina,Roubo,Assalto a Mão Armada,Faca,4,0,Masculino,41,Delegacia Santo Amaro,Em Investigação,-8.133104867133683,-34.87543122502075
OCR100074,2022-09-14 19:48:16.958840,Afogados,Estelionato,Arrombamento,Faca,0,1,Masculino,55,Delegacia Torre,Em Investigação,-8.05360892810769,-34.875221891554226
OCR100075,2023-11-21 19:48:16.958841,Tamarineira,Homicídio,Golpe Telefônico,Explosivos,2,0,Masculino,49,Delegacia Casa Forte,Em Investigação,-8.129348957046751,-34.85986041166514
OCR100076,2024-11-29 19:48:16.958847,Boa Viagem,Estupro,Arrombamento,Arma de Fogo,0,1,Feminino,60,Delegacia Boa Viagem,Em Investigação,-8.110938329357358,-34.866774596516905
OCR100077,2024-05-25 19:48:16.958848,Casa Forte,Violência Doméstica,Assalto a Mão Armada,Nenhum,4,3,Feminino,26,Delegacia Pina,Em Investigação,-8.087595965785834,-34.92702185440094
OCR100078,2022-11-24 19:48:16.958850,Casa Forte,Violência Doméstica,Crime Cibernético,Nenhum,2,0,Masculino,66,Delegacia Torre,Arquivado,-8.050301650702378,-34.89190414023156
OCR100079,2023-03-28 19:48:16.958852,Afogados,Latrocínio,Estelionato Bancário,Nenhum,1,2,Não Informado,38,Delegacia Boa Viagem,Arquivado,-8.121049368942046,-34.946472119171546
OCR100080,2022-10-26 19:48:16.958854,Tamarineira,Homicídio,Fraude Online,Explosivos,4,3,Masculino,60,Delegacia Boa Viagem,Arquivado,-8.064037731893347,-34.94093094851619
OCR100081,2025-04-12 19:48:16.958856,Torre,Roubo,Golpe Telefônico,Arma de Fogo,4,2,Feminino,38,Delegacia Boa Viagem,Em Investigação,-8.093168041824828,-34.92554413649153
OCR100082,2025-08-11 19:48:16.958858,Graças,Tráfico de Drogas,Fraude Online,Explosivos,0,3,Feminino,29,Delegacia Afogados,Em Investigação,-8.054771145200238,-34.90617251198651
OCR100083,2025-08-16 19:48:16.958859,Santo Amaro,Estelionato,Uso de Arma de Fogo,Objeto Contundente,0,2,Masculino,27,Delegacia Santo Amaro,Em Investigação,-8.10470223657009,-34.88108048756907
OCR100084,2025-06-12 19:48:16.958861,Tamarineira,Furto,Estelionato Bancário,Nenhum,3,0,Feminino,39,Delegacia Casa Forte,Concluído,-8.090315189473895,-34.92881915499251
OCR100085,2025-08-06 19:48:16.958863,Tamarineira,Estupro,Estupro Coletivo,Objeto Contundente,0,3,Feminino,66,Delegacia Torre,Em Investigação,-8.07855265461319,-34.93959750280137
OCR100086,2024-08-27 19:48:16.958864,Santo Amaro,Estupro,Arrombamento,Nenhum,3,2,Masculino,19,Delegacia Torre,Concluído,-8.124444574940084,-34.925611195003995
OCR100087,2023-06-17 19:48:16.958866,Tamarineira,Estupro,Fraude Online,Nenhum,0,3,Masculino,56,Delegacia Santo Amaro,Em Investigação,-8.147288759439432,-34.92479875082746
OCR100088,2024-04-28 19:48:16.958868,Boa Viagem,Sequestro,Uso de Arma de Fogo,Explosivos,0,4,Masculino,38,Delegacia Afogados,Em Investigação,-8.096780519118532,-34.858035474818124
OCR100089,2024-06-03 19:48:16.958870,Afogados,Violência Doméstica,Crime Cibernético,Nenhum,3,1,Feminino,32,Delegacia Boa Viagem,Arquivado,-8.079107335948773,-34.94940099962926
OCR100090,2023-08-04 19:48:16.958872,Graças,Furto,Estupro Coletivo,Objeto Contundente,0,0,Masculino,38,Delegacia Afogados,Em Investigação,-8.14180119049596,-34.943500263573654
OCR100091,2024-06-20 19:48:16.958874,Torre,Latrocínio,Emboscada,Nenhum,2,2,Feminino,46,Delegacia Afogados,Arquivado,-8.068048271629362,-34.922123557544595
OCR100092,2024-05-06 19:48:16.958875,Imbiribeira,Violência Doméstica,Fraude Online,Objeto Contundente,1,4,Masculino,66,Delegacia Santo Amaro,Concluído,-8.069352964878675,-34.8913551908753
OCR100093,2025-08-08 19:48:16.958877,Torre,Roubo,Fraude Online,Explosivos,3,4,Não Informado,56,Delegacia Torre,Arquivado,-8.1469616064193,-34.904775320297034
OCR100094,2025-02-16 19:48:16.958879,Tamarineira,Roubo,Invasão Residencial,Objeto Contundente,2,0,Masculino,28,Delegacia Santo Amaro,Concluído,-8.101236959606739,-34.89764988783592
OCR100095,2025-06-10 19:48:16.958881,Pina,Violência Doméstica,Assalto a Mão Armada,Faca,1,3,Feminino,42,Delegacia Boa Viagem,Concluído,-8.110835751568807,-34.905135305547056
OCR100096,2024-03-26 19:48:16.958882,Casa Forte,Roubo,Estupro Coletivo,Faca,3,2,Masculino,48,Delegacia Torre,Em Investigação,-8.061054336157959,-34.94078921495676
OCR100097,2023-08-17 19:48:16.958884,Pina,Ameaça,Emboscada,Nenhum,4,1,Masculino,41,Delegacia Afogados,Concluído,-8.091439205539452,-34.890332499076074
OCR100098,2024-04-04 19:48:16.958886,Pina,Estelionato,Emboscada,Explosivos,0,2,Masculino,18,Delegacia Santo Amaro,Em Investigação,-8.096192789713921,-34.91158937169915
OCR100099,2022-12-02 19:48:16.958888,Torre,Tráfico de Drogas,Crime Cibernético,Faca,0,4,Não Informado,67,Delegacia Pina,Arquivado,-8.085786229689957,-34.939928415259395
OCR100100,2023-01-06 19:48:16.958889,Tamarineira,Homicídio,Golpe Telefônico,Faca,1,3,Feminino,47,Delegacia Afogados,Concluído,-8.102597003789956,-34.875445893083736
OCR100101,2023-01-03 19:48:16.958891,Tamarineira,Estelionato,Crime Cibernético,Faca,4,1,Feminino,20,Delegacia Santo Amaro,Concluído,-8.053980670521605,-34.883695013663704
OCR100102,2024-01-16 19:48:16.958893,Graças,Ameaça,Arrombamento,Faca,0,2,Masculino,62,Delegacia Boa Viagem,Arquivado,-8.064164195265214,-34.89557282805668
OCR100103,2025-07-10 19:48:16.958895,Santo Amaro,Roubo,Assalto a Mão Armada,Nenhum,2,4,Não Informado,21,Delegacia Torre,Arquivado,-8.1005415389266,-34.94258869361989
OCR100104,2025-08-20 19:48:16.958897,Casa Forte,Homicídio,Invasão Residencial,Nenhum,2,0,Não Informado,34,Delegacia Santo Amaro,Concluído,-8.113655958086438,-34.9114888800927
OCR100105,2023-01-12 19:48:16.958898,Graças,Ameaça,Assalto a Mão Armada,Arma de Fogo,2,0,Não Informado,31,Delegacia Afogados,Arquivado,-8.11278644287381,-34.92305256687081
OCR100106,2023-02-19 19:48:16.958900,Tamarineira,Tráfico de Drogas,Emboscada,Explosivos,4,0,Masculino,44,Delegacia Torre,Em Investigação,-8.06770179851011,-34.85086814850335
OCR100107,2024-03-12 19:48:16.958903,Santo Amaro,Homicídio,Fraude Online,Objeto Contundente,0,4,Não Informado,26,Delegacia Pina,Concluído,-8.124260673158041,-34.87948123009066
OCR100108,2025-08-09 19:48:16.958906,Afogados,Estelionato,Assalto a Mão Armada,Explosivos,1,3,Masculino,22,Delegacia Pina,Em Investigação,-8.121398841975145,-34.856396165636724
OCR100109,2025-07-09 19:48:16.958910,Torre,Tráfico de Drogas,Golpe Telefônico,Faca,2,2,Não Informado,20,Delegacia Torre,Arquivado,-8.135280920411347,-34.909614007386494
OCR100110,2022-10-26 19:48:16.958913,Boa Viagem,Violência Doméstica,Assalto a Mão Armada,Nenhum,3,3,Masculino,17,Delegacia Afogados,Concluído,-8.055285038989805,-34.859159811280726
OCR100111,2025-07-01 19:48:16.958916,Graças,Estelionato,Uso de Arma de Fogo,Objeto Contundente,1,0,Não Informado,54,Delegacia Casa Forte,Em Investigação,-8.097255934451914,-34.90014490322358
OCR100112,2024-01-01 19:48:16.958919,Graças,Sequestro,Crime Cibernético,Arma de Fogo,2,4,Feminino,45,Delegacia Boa Viagem,Arquivado,-8.063925627067142,-34.910188294446904
OCR100113,2023-05-08 19:48:16.958922,Tamarineira,Furto,Invasão Residencial,Arma de Fogo,3,2,Feminino,31,Delegacia Torre,Concluído,-8.146247601078123,-34.8679556453701
OCR100114,2024-01-20 19:48:16.958925,Torre,Sequestro,Fraude Online,Nenhum,4,4,Não Informado,45,Delegacia Casa Forte,Arquivado,-8.099756699049625,-34.91845601086897
OCR100115,2025-05-30 19:48:16.958928,Santo Amaro,Sequestro,Estupro Coletivo,Faca,4,0,Feminino,62,Delegacia Casa Forte,Em Investigação,-8.11772684953352,-34.93425937117644
OCR100116,2022-11-09 19:48:16.958931,Torre,Estupro,Emboscada,Objeto Contundente,0,0,Feminino,63,Delegacia Afogados,Concluído,-8.131947829205428,-34.90998351452858
OCR100117,2025-05-11 19:48:16.958935,Santo Amaro,Furto,Invasão Residencial,Explosivos,4,1,Masculino,19,Delegacia Casa Forte,Em Investigação,-8.119833405228407,-34.923331248093724
OCR100118,2023-02-17 19:48:16.958938,Espinheiro,Estelionato,Golpe Telefônico,Objeto Contundente,4,3,Feminino,60,Delegacia Afogados,Concluído,-8.099434552522697,-34.94875862986953
OCR100119,2023-09-28 19:48:16.958943,Boa Viagem,Violência Doméstica,Estupro Coletivo,Faca,3,1,Feminino,28,Delegacia Boa Viagem,Arquivado,-8.107001511714314,-34.93869927888791
OCR100120,2025-03-31 19:48:16.958945,Boa Viagem,Ameaça,Estupro Coletivo,Arma de Fogo,4,0,Masculino,66,Delegacia Pina,Arquivado,-8.137938790856118,-34.86258831390559
OCR100121,2023-11-08 19:48:16.958947,Santo Amaro,Tráfico de Drogas,Estelionato Bancário,Faca,2,2,Não Informado,66,Delegacia Boa Viagem,Concluído,-8.148379612774217,-34.86306968564057
OCR100122,2022-12-09 19:48:16.958949,Tamarineira,Tráfico de Drogas,Invasão Residencial,Explosivos,1,1,Masculino,60,Delegacia Casa Forte,Concluído,-8.110772652363998,-34.85304224474558
OCR100123,2024-01-12 19:48:16.958950,Espinheiro,Violência Doméstica,Crime Cibernético,Arma de Fogo,3,2,Não Informado,31,Delegacia Santo Amaro,Concluído,-8.072498564333939,-34.88121507322632
OCR100124,2025-03-21 19:48:16.958952,Casa Forte,Violência Doméstica,Fraude Online,Arma de Fogo,0,4,Masculino,15,Delegacia Torre,Concluído,-8.111674369332023,-34.89788191914711
OCR100125,2025-03-19 19:48:16.958954,Tamarineira,Estupro,Assalto a Mão Armada,Arma de Fogo,4,3,Não Informado,38,Delegacia Pina,Arquivado,-8.079031345851925,-34.890918924981804
OCR100126,2025-03-18 19:48:16.958956,Boa Viagem,Roubo,Crime Cibernético,Explosivos,0,3,Não Informado,38,Delegacia Santo Amaro,Concluído,-8.084406902891924,-34.91507396099462
OCR100127,2022-10-06 19:48:16.958957,Boa Viagem,Roubo,Estupro Coletivo,Explosivos,0,2,Masculino,52,Delegacia Torre,Em Investigação,-8.131898689975994,-34.906570688819265
OCR100128,2023-01-25 19:48:16.958959,Graças,Tráfico de Drogas,Uso de Arma de Fogo,Nenhum,2,4,Feminino,26,Delegacia Afogados,Concluído,-8.1305100589825,-34.86905163545048
OCR100129,2024-07-15 19:48:16.958962,Pina,Roubo,Arrombamento,Objeto Contundente,4,0,Feminino,31,Delegacia Torre,Arquivado,-8.054802304532803,-34.94828346044771
OCR100130,2024-11-10 19:48:16.958963,Imbiribeira,Violência Doméstica,Arrombamento,Faca,1,1,Masculino,34,Delegacia Boa Viagem,Em Investigação,-8.145669317842653,-34.895724102924774
OCR100131,2025-04-09 19:48:16.958965,Tamarineira,Estupro,Invasão Residencial,Arma de Fogo,3,1,Não Informado,67,Delegacia Afogados,Em Investigação,-8.095956374795742,-34.863997620750595
OCR100132,2022-09-09 19:48:16.958967,Casa Forte,Ameaça,Arrombamento,Objeto Contundente,0,0,Masculino,20,Delegacia Santo Amaro,Em Investigação,-8.051893746697631,-34.93283032294928
OCR100133,2023-04-09 19:48:16.958969,Boa Viagem,Violência Doméstica,Arrombamento,Explosivos,0,4,Masculino,22,Delegacia Afogados,Em Investigação,-8.07705620972749,-34.92118060923961
OCR100134,2024-10-25 19:48:16.958971,Santo Amaro,Roubo,Crime Cibernético,Faca,4,1,Não Informado,38,Delegacia Pina,Em Investigação,-8.062709784857873,-34.89095518666068
OCR100135,2023-10-04 19:48:16.958973,Espinheiro,Homicídio,Assalto a Mão Armada,Objeto Contundente,1,1,Masculino,45,Delegacia Torre,Concluído,-8.096691192042366,-34.89409771525883
OCR100136,2024-06-10 19:48:16.958975,Torre,Furto,Assalto a Mão Armada,Faca,3,4,Masculino,16,Delegacia Afogados,Arquivado,-8.050213204985244,-34.915126331513825
OCR100137,2023-07-24 19:48:16.958977,Pina,Latrocínio,Crime Cibernético,Arma de Fogo,4,3,Não Informado,43,Delegacia Santo Amaro,Concluído,-8.137918539021884,-34.92869886405242
OCR100138,2023-12-31 19:48:16.958978,Pina,Ameaça,Fraude Online,Objeto Contundente,2,4,Masculino,59,Delegacia Boa Viagem,Concluído,-8.079208059238088,-34.93017774757423
OCR100139,2024-01-21 19:48:16.958980,Boa Viagem,Sequestro,Crime Cibernético,Nenhum,2,0,Feminino,52,Delegacia Casa Forte,Arquivado,-8.093721611291505,-34.94094096196432
OCR100140,2023-11-09 19:48:16.958982,Afogados,Ameaça,Assalto a Mão Armada,Faca,2,4,Masculino,25,Delegacia Afogados,Arquivado,-8.067757530256488,-34.85148147164985
OCR100141,2024-08-15 19:48:16.958985,Tamarineira,Estelionato,Arrombamento,Arma de Fogo,4,4,Não Informado,55,Delegacia Casa Forte,Concluído,-8.124510785803109,-34.93150592716261
